	Ref	POS	Morpheme	MorTag	Line
0	<CA Mt 11:14>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	jah jabai wildedeiþ miþniman , sa ist Helias , saei ▶skulda◀ qiman . 
1	<CA Mt 27:6>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	iþ þai gudjans nimandans þans skattans qeþun : ni ▶skuld◀ ist lagjan þans in kaurbaunan , unte andawairþi bloþis ist . 
2	<CA Jn 7:35>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-3	þaruh qeþun þai Iudaieis du sis misso : ƕadre sa ▶skuli◀ gaggan , þei weis ni bigitaima ina ? nibai in distahein þiudo ▶skuli◀ gaggan jah laisjan þiudos ? 
3	<CA Jn 7:35>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-3	þaruh qeþun þai Iudaieis du sis misso : ƕadre sa ▶skuli◀ gaggan , þei weis ni bigitaima ina ? nibai in distahein þiudo ▶skuli◀ gaggan jah laisjan þiudos ? 
4	<CA Jn 7:39>	Verb	V.prt.-prs.	ACT-IND-PRET-PLUR-3	þatuh þan qaþ bi ahman þanei ▶skuldedun◀ niman þai galaubjandans du imma ; unte ni nauhþanuh was ahma sa weiha ana im , unte Iesus nauhþanuh ni hauhiþs was . 
5	<CA Jn 8:26>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	manag ▶skal◀ bi izwis rodjan jah stojan ; akei saei sandida mik sunjeins ist ; jah ik þatei hausida at imma þata rodja in þamma fairƕau . 
6	<CA Jn 9:4>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	ik ▶skal◀ waurkjan waurstwa þis sandjandins mik , unte dags ist ; qimiþ nahts , þa(unclear)n(/unclear)ei ni manna mag waurkjan . 
7	<CA Jn 10:16>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah anþara lamba aih þoei ni sind þis awistris , jah þo ▶skal◀ briggan , jah stibnos meinaizos hausjand , jah wairþand ain aweþi , ains hairdeis . 
8	<CA Jn 12:33>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	þatuþ~þan qaþ bandwjands ƕileikamma dauþau ▶skulda◀ gadauþnan . 
9	<CA Jn 12:34>	Verb	V.prt.-prs.	STRONG-MASC-NOM-SING	andhof imma so managei : weis hausidedum ana witoda þatei Xristus sijai du aiwa ; jah ƕaiwa þu qiþis þatei ▶skulds◀ ist ushauhjan sa sunus mans ? ƕas ist sa sunus mans ? 
10	<CA Jn 13:14>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	jabai nu ik usþwoh izwis fotuns , frauja jah laisareis , jah jus ▶skuluþ◀ izwis misso þwahan fotuns . 
11	<CA Jn 16:12>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	Nauh ganoh ▶skal◀ qiþan izwis , akei ni maguþ frabairan nu . 
12	<CA Jn 18:31>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	þaruh qaþ im Peilatus : nimiþ ina jus jah bi witoda izwaramma stojiþ ina . iþ eis qeþunuh du imma Iudaieis : unsis ni ▶skuld◀ ist usqiman manne ainummehun . 
13	<CA Jn 18:31>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	þaruh qaþ im Peilatus : nimiþ ina jus jah bi witoda izwaramma stojiþ ina . iþ eis qeþunuh du imma Iudaieis : unsis ni ▶skuld◀ ist usqiman manne ainummehun . 
14	<CA Jn 18:32>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	ei waurd fraujins usfullnodedi , þatei qaþ , bandwjands ƕileikamma dauþau ▶skulda◀ gaswiltan . 
15	<CA Jn 18:32>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	ei waurd fraujins usfullnodedi , þatei qaþ , bandwjands ƕileikamma dauþau ▶skulda◀ gaswiltan . 
16	<CA Jn 18:32>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	ei waurd fraujins usfullnodedi , þatei qaþ , bandwjands ƕileikamma dauþau ▶skulda◀ gaswiltan . 
17	<CA Jn 18:32>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	ei waurd fraujins usfullnodedi , þatei qaþ , bandwjands ƕileikamma dauþau ▶skulda◀ gaswiltan . 
